Mode,Target_Ratio,Phi_Actual,Phi_Normalized,k_Actual,k_Normalized
Coating,1.0,0.5499878,1.0,0.005828662,1.0
Coating,0.9285714285714286,0.47229004,0.85872823,0.008846526,1.5177628
Coating,0.8571428571428572,0.44158936,0.8029076,0.010866561,1.8643321
Coating,0.7857142857142857,0.39605713,0.72011983,0.013268897,2.2764912
Coating,0.7142857142857143,0.36547852,0.66452116,0.011407836,1.9571965
Coating,0.6428571428571429,0.33892822,0.6162468,0.010005475,1.716599
Coating,0.5714285714285714,0.3116455,0.5666408,0.0058727227,1.0075593
Coating,0.5,0.26904297,0.48917988,0.0053439746,0.9168441
Stochastic,1.0,0.5499878,1.0,0.005828662,1.0
Stochastic,0.9285714285714286,0.5107422,0.92864275,0.026540281,4.553409
Stochastic,0.8571428571428572,0.47143555,0.8571746,0.021277288,3.6504586
Stochastic,0.7857142857142857,0.43218994,0.7858173,0.016268166,2.7910635
Stochastic,0.7142857142857143,0.3928833,0.71434915,0.012442961,2.1347888
Stochastic,0.6428571428571429,0.35357666,0.6428809,0.00868738,1.4904587
Stochastic,0.5714285714285714,0.31433105,0.57152367,0.0061545116,1.0559047
Stochastic,0.5,0.2750244,0.5000555,0.0042867498,0.73546034
Throats,1.0,0.5499878,1.0,0.005828662,1.0
Throats,0.9285714285714286,0.5107422,0.92864275,0.010162985,1.7436223
Throats,0.8571428571428572,0.47143555,0.8571746,0.019481229,3.342316
Throats,0.7857142857142857,0.43218994,0.7858173,0.016452653,2.8227153
Throats,0.7142857142857143,0.3928833,0.71434915,0.018536499,3.1802323
Throats,0.6428571428571429,0.35357666,0.6428809,0.012844004,2.203594
Throats,0.5714285714285714,0.31433105,0.57152367,0.0076855104,1.318572
Throats,0.5,0.2750244,0.5000555,0.0050286823,0.8627507
